,0,1,vars,t
1,0.03763681753163738,0.0,1,57
0,0.0,0.3705037589803535,0,58
1,0.03639650797258599,0.0,1,58
0,0.0,0.36999759083464356,0,59
1,0.03658441244773997,0.0,1,59
0,0.0,0.36789878105864077,0,60
1,0.03732328582657818,0.0,1,60
0,0.0,0.35717768554236623,0,61
1,0.03535700301851428,0.0,1,61
0,0.0,0.35525542008334515,0,62
1,0.03502833337576021,0.0,1,62
0,0.0,0.3547068880813223,0,63
1,0.034957824403051195,0.0,1,63
0,0.0,0.35285512714249156,0,64
1,0.03481570154793679,0.0,1,64
0,0.0,0.35185851515584643,0,65
1,0.03490401557448837,0.0,1,65
0,0.0,0.35226905902474387,0,66
1,0.03524317685436203,0.0,1,66
0,0.0,0.35308286361571617,0,67
1,0.03544343610087757,0.0,1,67
0,0.0,0.3533511186873887,0,68
1,0.03547971276185406,0.0,1,68
0,0.0,0.3533761385602,0,69
1,0.03547968937785846,0.0,1,69
0,0.0,0.3533761385602,0,70
1,0.03547968937785846,0.0,1,70
0,0.0,0.3533761385602,0,71
1,0.03547968937785846,0.0,1,71
0,0.0,-1.8289137982967614,0,72
1,1.0593920305775064,0.0,1,72
0,0.0,-0.07622475928911715,0,73
1,0.0017173889974196126,0.0,1,73
0,0.0,0.26703488079478477,0,74
1,0.020434348596016536,0.0,1,74
0,0.0,0.2750589193656897,0,75
1,0.021652958688206967,0.0,1,75
0,0.0,0.28371916780839646,0,76
1,0.022981762436415344,0.0,1,76
0,0.0,0.2888695616573853,0,77
1,0.023681608779255122,0.0,1,77
0,0.0,0.0,0,78
1,0.0,0.0,1,78
0,0.0,0.2647478888494833,0,79
1,0.019579059292325725,0.0,1,79
0,0.0,0.2659330945295767,0,80
1,0.019763171296947005,0.0,1,80
0,0.0,0.2661988102172708,0,81
1,0.019796903115377063,0.0,1,81
0,0.0,0.2672586908044254,0,82
1,0.01989834156400615,0.0,1,82
0,0.0,0.26781726899426417,0,83
1,0.019900626557702944,0.0,1,83
0,0.0,0.2676743756685249,0,84
1,0.019797361918276454,0.0,1,84
0,0.0,0.2673110132992794,0,85
1,0.019727643331449232,0.0,1,85
0,0.0,0.26719832808079785,0,86
1,0.019713576574362804,0.0,1,86
0,0.0,0.2671886035811245,0,87
1,0.01971310370472282,0.0,1,87
0,0.0,0.2671886035811245,0,88
1,0.01971310370472282,0.0,1,88
0,0.0,0.3533761385602,0,89
1,0.03547968937785846,0.0,1,89
0,0.0,-2.0934329195914048,0,90
1,1.8227054711819146,0.0,1,90
0,0.0,-0.15006823735811772,0,91
1,0.006971045019061137,0.0,1,91
0,0.0,-0.027315365058966673,0,92
1,0.00022710726248620093,0.0,1,92
0,0.0,0.15627435816323615,0,93
1,0.007078617469253896,0.0,1,93
0,0.0,0.17859780345428342,0,94
1,0.009176059330572235,0.0,1,94
0,0.0,0.16792333677203938,0,95
1,0.00814114914555159,0.0,1,95
0,0.0,0.16803370492065434,0,96
1,0.008130239284561072,0.0,1,96
0,0.0,0.0,0,97
1,0.0,0.0,1,97
0,0.0,0.15045469648783774,0,98
1,0.006385569362650768,0.0,1,98
0,0.0,0.15351057048346256,0,99
1,0.006449381585671508,0.0,1,99
0,0.0,0.156546899874671,0,100
1,0.00651214616909429,0.0,1,100
0,0.0,0.1621232106364821,0,101
1,0.007000886858532826,0.0,1,101
0,0.0,0.16226922402400473,0,102
1,0.007011845235857979,0.0,1,102
0,0.0,0.16329283453454677,0,103
1,0.007073080982622666,0.0,1,103
0,0.0,0.16383698365193375,0,104
1,0.007080607511317286,0.0,1,104
0,0.0,0.16371795027281127,0,105
1,0.007023812910370472,0.0,1,105
0,0.0,0.1632908655628993,0,106
1,0.006975871409569885,0.0,1,106
0,0.0,0.16313686420242074,0,107
1,0.0069640843094011225,0.0,1,107
0,0.0,0.16312111628367046,0,108
1,0.006963468287413141,0.0,1,108
0,0.0,0.16312111628367046,0,109
1,0.006963468287413141,0.0,1,109
0,0.0,0.16312111628367046,0,110
1,0.006963468287413141,0.0,1,110
0,0.0,-1.933195048668346,0,111
1,0.9651040979266612,0.0,1,111
0,0.0,-0.2249939594453032,0,112
1,0.013426395796298323,0.0,1,112
0,0.0,0.10648540511596843,0,113
