,0,1,2,vars,t
2,0.0154746249250771,0.06359357398461091,0.0,2,112
0,0.0,0.2901807937407444,0.14913572800550065,0,113
1,0.027816708309861785,0.0,0.06678252247191184,1,113
2,0.01900240755165808,0.08495343225992355,0.0,2,113
0,0.0,0.27739259452041937,0.158917076170415,0,114
1,0.029162858392536607,0.0,0.07027445215294437,1,114
2,0.020719130152597503,0.09315869664565328,0.0,2,114
0,0.0,0.24204220117823874,0.16221942004922077,0,115
1,0.027814697613078244,0.0,0.0815539950401322,1,115
2,0.02049516752984429,0.10117448488652961,0.0,2,115
0,0.0,0.11728596911159624,0.15284397561297333,0,116
1,0.02142381437000634,0.0,0.0856464294707327,1,116
2,0.01946154842313984,0.10325252602051554,0.0,2,116
0,0.0,0.1948437956214532,0.15863869912205936,0,117
1,0.024984354708393164,0.0,0.08315793676744035,1,117
2,0.020101232189924458,0.10190772026546535,0.0,2,117
0,0.0,0.15828051978561283,0.1547827082657358,0,118
1,0.02299930160775771,0.0,0.08796157205486024,1,118
2,0.01963928804458025,0.10530508403366733,0.0,2,118
0,0.0,0.19978942247700662,0.15704982081537952,0,119
1,0.025061656014443726,0.0,0.090508490405064,1,119
2,0.01988215167913314,0.10771886839631066,0.0,2,119
0,0.0,0.2355235504738333,0.15758776794381557,0,120
1,0.02686105669678923,0.0,0.09135985925077307,1,120
2,0.01986757282223902,0.10802213578063945,0.0,2,120
0,0.0,0.23801894316338532,0.15667413351055096,0,121
1,0.02680144403552337,0.0,0.09044034851394772,1,121
2,0.01971388650889898,0.1067680498715205,0.0,2,121
0,0.0,0.24328834060106733,0.1547388143445076,0,122
1,0.026674717708496047,0.0,0.08753652466002679,1,122
2,0.019389350314969658,0.10326309290490562,0.0,2,122
0,0.0,0.24373033734582106,0.1551352586731369,0,123
1,0.026770432493700688,0.0,0.08680532999403388,1,123
2,0.019448734195098242,0.1027374954291149,0.0,2,123
0,0.0,0.24256347824924568,0.15932264532943743,0,124
1,0.027496087057667675,0.0,0.08390932543923124,1,124
2,0.020056114093280446,0.10158515444616995,0.0,2,124
0,0.0,0.23904189162181244,0.1626421065186603,0,125
1,0.027890276847610272,0.0,0.0837510968591661,1,125
2,0.020373545605306256,0.10173359053806443,0.0,2,125
0,0.0,0.23398588278478094,0.16626146587798024,0,126
1,0.028195155630028758,0.0,0.08484372548220175,1,126
2,0.02058028546681466,0.10208831981838808,0.0,2,126
0,0.0,0.23108727846424532,0.16789560259522762,0,127
1,0.028226656033947233,0.0,0.08619339007161177,1,127
2,0.020549873070577165,0.10204635724440844,0.0,2,127
0,0.0,0.22848590496718996,0.1690585297302154,0,128
1,0.028098761753181798,0.0,0.08796307061285101,1,128
2,0.020407619565442868,0.10138550743951784,0.0,2,128
0,0.0,0.2277969514634384,0.16923110789216445,0,129
1,0.02793630032565195,0.0,0.08884745473705878,1,129
2,0.02036200501149452,0.10059516847384824,0.0,2,129
0,0.0,0.22795371712074544,0.16899991529625227,0,130
1,0.027788117914876773,0.0,0.08919057742993042,1,130
2,0.020426146015648513,0.09989164275341916,0.0,2,130
0,0.0,0.2282521059505874,0.16879264346390652,0,131
1,0.02769653837516814,0.0,0.08919900484654406,1,131
2,0.020615750721930788,0.09943262163945552,0.0,2,131
0,0.0,0.2282753446069988,0.16884750441747687,0,132
1,0.027656086571360792,0.0,0.08909847760490087,1,132
2,0.02102508067243206,0.09912293268683936,0.0,2,132
0,0.0,0.2272629827949351,0.16913713984700274,0,133
1,0.027667912823341793,0.0,0.08903603235896554,1,133
2,0.021560262216656734,0.09905191294703103,0.0,2,133
0,0.0,0.22905150211283645,0.1695669654873908,0,134
1,0.027939892529850748,0.0,0.0888000959492617,1,134
2,0.022131227693775513,0.09911320494596738,0.0,2,134
0,0.0,0.2270373492386352,0.1695891080910951,0,135
1,0.027888511953228747,0.0,0.0886866072114596,1,135
2,0.022201180424911763,0.09918587900996946,0.0,2,135
0,0.0,0.22640675165179655,0.16948133825010847,0,136
1,0.027887211955133533,0.0,0.08861219013449698,1,136
2,0.022186233121500476,0.0992137424936455,0.0,2,136
0,0.0,0.22654029729811337,0.16925888620164944,0,137
1,0.027889927936518427,0.0,0.08852624121208415,1,137
2,0.022166025948266357,0.099128459279853,0.0,2,137
0,0.0,0.22694893294168822,0.16904521082482005,0,138
1,0.027884756988274747,0.0,0.08845626228837927,1,138
2,0.022165358308683606,0.09899704586314348,0.0,2,138
0,0.0,0.22709190870250395,0.16899518345655265,0,139
1,0.027879304353882074,0.0,0.08845705556789386,1,139
2,0.022168055785974312,0.09895295446666091,0.0,2,139
0,0.0,0.22711215123992828,0.16898718557796777,0,140
1,0.02787667843886246,0.0,0.08846704617768437,1,140
2,0.02216919317032366,0.09894670709525072,0.0,2,140
0,0.0,0.22712094033679012,0.16897424922465581,0,141
1,0.027873061399152133,0.0,0.08848789174448177,1,141
2,0.02216814013233143,0.09894812019938086,0.0,2,141
0,0.0,0.227115135611055,0.16895715975088824,0,142
1,0.027869966828827596,0.0,0.08850880957941264,1,142
2,0.022165579962399845,0.09895845691357047,0.0,2,142
0,0.0,0.2271049608921652,0.16894926784920974,0,143
1,0.02786889846844467,0.0,0.08851175731326216,1,143
2,0.02216539406320366,0.0989646133682049,0.0,2,143
0,0.0,0.2271049608921652,0.16894926784920974,0,144
1,0.02786889846844467,0.0,0.08851175731326216,1,144
2,0.02216539406320366,0.0989646133682049,0.0,2,144
0,0.0,0.2271049608921652,0.16894926784920974,0,145
1,0.02786889846844467,0.0,0.08851175731326216,1,145
2,0.02216539406320366,0.0989646133682049,0.0,2,145
0,0.0,-3.316453612130816,-0.020245811960460294,0,146
1,1.3897792870364212,0.0,-0.0019639052746788965,1,146
2,0.06400520303186531,-0.019124685130672194,0.0,2,146
0,0.0,-0.3649603722705418,0.0564004526462013,0,147
1,0.02025828426820972,0.0,0.03768510728304715,1,147
2,0.005059086128575717,0.02350350596275748,0.0,2,147
0,0.0,0.11923652270040205,0.1438467143460791,0,148
1,0.018367415310011175,0.0,0.07733395472359966,1,148
2,0.018097396183240057,0.08030168123920405,0.0,2,148
0,0.0,0.14866682346977853,0.14175157975613478,0,149
1,0.01888546464696568,0.0,0.07672218689693809,1,149
2,0.017601754442479283,0.07847912779225774,0.0,2,149
0,0.0,0.1713506689924798,0.13814533200509233,0,150
1,0.019044387409508572,0.0,0.07554006514266906,1,150
2,0.016818608449770615,0.07552064584722773,0.0,2,150
0,0.0,0.1813930575762713,0.1358521233155595,0,151
1,0.019009774906784085,0.0,0.07491331146195604,1,151
2,0.016256808290077578,0.0735746378426229,0.0,2,151
0,0.0,0.1493341547660921,0.12413716408490343,0,152
1,0.015704970269008686,0.0,0.06664172828332202,1,152
2,0.014348252727933143,0.06370532461565727,0.0,2,152
0,0.0,0.15668774425244422,0.13030192818073366,0,153
1,0.01712727743376255,0.0,0.06886427146443926,1,153
2,0.015484820451398653,0.06825846526958733,0.0,2,153
0,0.0,0.15854087295381297,0.1337347430866643,0,154
1,0.017869472134087884,0.0,0.06986160205966045,1,154
2,0.016153612334317117,0.07082911589414467,0.0,2,154
0,0.0,0.157982225665995,0.13366500743929527,0,155
1,0.01784543455134362,0.0,0.06973511140032236,1,155
2,0.01615498996314388,0.07081390937642404,0.0,2,155
0,0.0,0.1548660061233518,0.13344821595394582,0,156
1,0.017788467051100036,0.0,0.06878734029137655,1,156
2,0.016246265511311753,0.07105284267214497,0.0,2,156
0,0.0,0.1541911025519308,0.13339669655907235,0,157
1,0.017840067809575498,0.0,0.06813231955592666,1,157
2,0.01634205249399757,0.0713968984289106,0.0,2,157
0,0.0,0.1552159385654373,0.13293974189922236,0,158
