,0,1,vars,t
1,0.0026252995430376233,0.0,1,142
0,0.0,0.1840061176912337,0,143
1,0.002603662778670215,0.0,1,143
0,0.0,0.1845296915126287,0,144
1,0.0026074937200305146,0.0,1,144
0,0.0,0.18574979630618613,0,145
1,0.0026364551188119215,0.0,1,145
0,0.0,0.18634852624857987,0,146
1,0.0026537728270664236,0.0,1,146
0,0.0,0.1864318118477643,0,147
1,0.0026568020971108257,0.0,1,147
0,0.0,0.18643005522239525,0,148
1,0.0026568577356259103,0.0,1,148
0,0.0,0.18643005522239525,0,149
1,0.0026568577356259103,0.0,1,149
0,0.0,0.24653469994275704,0,150
1,0.004704526457358608,0.0,1,150
0,0.0,-10.484335103961255,0,151
1,5.534860794858095,0.0,1,151
0,0.0,-1.3426729285229186,0,152
1,0.1382234771490471,0.0,1,152
0,0.0,-0.09607644136252023,0,153
1,0.000716584956174552,0.0,1,153
0,0.0,-0.014040385756692524,0,154
1,1.5294882021491573e-05,0.0,1,154
0,0.0,0.12230036059609847,0,155
1,0.0011588260514733375,0.0,1,155
0,0.0,0.10732620751723693,0,156
1,0.0008924487360073591,0.0,1,156
0,0.0,0.11496368586252562,0,157
1,0.0010239737050976574,0.0,1,157
0,0.0,0.11496514010468953,0,158
1,0.0010239328751098919,0.0,1,158
0,0.0,0.11497095508091318,0,159
1,0.0010237695471771967,0.0,1,159
0,0.0,0.11499418309566532,0,160
1,0.001023116107908578,0.0,1,160
0,0.0,0.11508073143611253,0,161
1,0.0010206667918674277,0.0,1,161
0,0.0,0.11284564039263437,0,162
1,0.000979125630475562,0.0,1,162
0,0.0,0.11141388803492067,0,163
1,0.0009516837706312609,0.0,1,163
0,0.0,0.11070807154080915,0,164
1,0.0009361124309069052,0.0,1,164
0,0.0,0.11059320257092742,0,165
1,0.0009265992507819323,0.0,1,165
0,0.0,0.11180811633981007,0,166
1,0.0009414412614815192,0.0,1,166
0,0.0,0.11295390383458592,0,167
1,0.0009595902050704897,0.0,1,167
0,0.0,0.11319762936720759,0,168
1,0.0009642210589533195,0.0,1,168
0,0.0,0.11320933155970614,0,169
1,0.0009645816366779167,0.0,1,169
0,0.0,0.11320764057051513,0,170
1,0.0009645625126435514,0.0,1,170
0,0.0,0.11320764057051513,0,171
1,0.0009645625126435514,0.0,1,171
0,0.0,0.11320764057051513,0,172
1,0.0009645625126435514,0.0,1,172
0,0.0,-10.25548369932322,0,173
1,5.076926970131418,0.0,1,173
0,0.0,-1.3978031104714626,0,174
1,0.1443226074624101,0.0,1,174
0,0.0,-0.16762286961597,0,175
1,0.0021155476704379276,0.0,1,175
0,0.0,0.07134774530076247,0,176
1,0.0003831925277045364,0.0,1,176
0,0.0,0.08678432586016643,0,177
1,0.0005669029343166135,0.0,1,177
0,0.0,0.08968818043629273,0,178
1,0.0006054589008417342,0.0,1,178
0,0.0,0.09109798177111664,0,179
1,0.0006246216838632702,0.0,1,179
0,0.0,0.08127752371332586,0,180
1,0.0004971148730575894,0.0,1,180
0,0.0,0.0856600175324143,0,181
1,0.0005521785158862947,0.0,1,181
0,0.0,0.08618515995599414,0,182
1,0.0005589636532622279,0.0,1,182
0,0.0,0.08618251149948587,0,183
1,0.0005589223467903063,0.0,1,183
0,0.0,0.08617191714546392,0,184
1,0.000558757134312092,0.0,1,184
0,0.0,0.08612953128116427,0,185
1,0.0005580964989623243,0.0,1,185
0,0.0,0.0859598526276971,0,186
1,0.0005554573921014675,0.0,1,186
0,0.0,0.08593629275227542,0,187
1,0.000553015149001822,0.0,1,187
0,0.0,0.08616438992183678,0,188
1,0.0005555395316040574,0.0,1,188
